id,vegetable_id,price,market,date,price_variation,created_at,updated_at
252,12,485,東京都,2025-04-21,97.4,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
253,13,465,東京都,2025-04-21,97.1,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
254,14,472,東京都,2025-04-21,91.7,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
255,15,790,東京都,2025-04-21,99.5,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
256,16,458,東京都,2025-04-21,100.0,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
257,17,857,東京都,2025-04-21,98.8,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
258,18,652,東京都,2025-04-21,98.3,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
259,19,322,東京都,2025-04-21,108.8,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
260,20,2072,東京都,2025-04-21,104.3,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
261,21,268,東京都,2025-04-21,100.4,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
262,22,481,東京都,2025-04-21,94.5,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
263,23,168,東京都,2025-04-21,102.4,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
264,24,986,東京都,2025-04-21,100.2,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
265,25,305,東京都,2025-04-21,93.8,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
266,26,250,東京都,2025-04-21,70.2,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
267,27,402,東京都,2025-04-21,99.5,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
268,28,394,東京都,2025-04-21,94.0,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
269,29,561,東京都,2025-04-21,98.9,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
270,30,617,東京都,2025-04-21,98.4,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
271,31,2188,東京都,2025-04-21,103.9,2025-04-22 22:00:27 +0900,2025-04-22 22:00:27 +0900
